"enrollee_id","city","city_development_index","gender","relevent_experience","enrolled_university","education_level","major_discipline","experience","company_size","company_type","last_new_job","training_hours"
6424,"city_75",0.939,"Male","Has","No","Graduate","STEM","10","50-99","Pvt Ltd","1",176
18304,"city_64",0.666,"Male","No","Full","High","","2","","","1",110
22515,"city_103",0.92,"Male","No","Full","High","","4","","","never",44
15878,"city_16",0.91,"Male","Has","No","Graduate","STEM","8","50-99","Early Stage Startup","1",82
22128,"city_103",0.92,"Male","Has","No","Graduate","STEM","6","10000+","Pvt Ltd","1",70
17347,"city_16",0.91,"Male","Has","No","Graduate","STEM",">20","5000-9999","Pvt Ltd",">4",7
32239,"city_103",0.92,"Female","Has","No","Graduate","Humanities","4","10000+","Pvt Ltd","1",276
1012,"city_114",0.926,"Male","Has","Part","Masters","STEM","16","50-99","NGO","3",58
7766,"city_71",0.884,"Female","Has","No","Graduate","STEM","9","100-500","Pvt Ltd","2",54
3984,"city_103",0.92,"Male","Has","Full","High","","8","100-500","Pvt Ltd","1",276
23247,"city_100",0.887,"Male","Has","Part","Graduate","STEM","4","50-99","Funded Startup","4",94
18458,"city_103",0.92,"Male","Has","No","Graduate","STEM","10","50-99","Early Stage Startup","2",67
5248,"city_21",0.624,"Male","No","Full","High","","5","","Pvt Ltd","never",53
13094,"city_114",0.926,"Female","Has","Part","Graduate","Other","5","50-99","Pvt Ltd","4",138
24516,"city_103",0.92,"Female","Has","No","Masters","STEM",">20","","",">4",18
1511,"city_160",0.92,"Male","Has","No","Graduate","STEM","4","10/49","Funded Startup","1",102
30822,"city_75",0.939,"Male","Has","No","Graduate","STEM",">20","10/49","Pvt Ltd",">4",64
25281,"city_103",0.92,"Male","No","No","Graduate","STEM",">20","50-99","Pvt Ltd",">4",2
12324,"city_103",0.92,"Female","Has","No","Graduate","STEM","11","5000-9999","Pvt Ltd","1",110
16450,"city_103",0.92,"Male","Has","No","Graduate","STEM","10","500-999","Pvt Ltd","1",50
25513,"city_103",0.92,"Male","No","No","Graduate","Arts","11","500-999","NGO",">4",161
32015,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","10000+","Pvt Ltd",">4",77
18228,"city_46",0.762,"Male","Has","No","Graduate","STEM","6","100-500","Funded Startup","1",100
11260,"city_103",0.92,"Female","Has","No","Graduate","Humanities",">20","10000+","Pvt Ltd",">4",116
3566,"city_23",0.899,"Male","Has","No","Graduate","STEM","16","10000+","Pvt Ltd","1",27
14211,"city_16",0.91,"Male","Has","No","Graduate","STEM","15","10000+","Pvt Ltd",">4",49
15827,"city_100",0.887,"Male","Has","No","Masters","STEM","2","<10","Pvt Ltd","never",102
18376,"city_75",0.939,"Male","Has","No","Graduate","STEM","17","50-99","","1",60
4412,"city_21",0.624,"Male","Has","No","Graduate","STEM",">20","10000+","Pvt Ltd","never",74
22210,"city_28",0.939,"Male","Has","No","Masters","STEM",">20","","","4",123
22112,"city_16",0.91,"Male","Has","No","Graduate","STEM","13","50-99","Funded Startup","1",8
27607,"city_20",0.796,"Male","Has","No","Graduate","STEM","8","50-99","Pvt Ltd","1",25
1359,"city_103",0.92,"Male","Has","No","Masters","STEM",">20","10/49","Funded Startup","2",308
5210,"city_16",0.91,"Male","No","No","Graduate","STEM","11","100-500","Pvt Ltd","1",12
25378,"city_136",0.897,"Male","Has","No","Graduate","Other",">20","1000-4999","Pvt Ltd","never",99
26280,"city_159",0.843,"Male","No","No","Phd","STEM",">20","5000-9999","Public Sector",">4",42
18778,"city_16",0.91,"Male","Has","No","Graduate","STEM","5","500-999","Pvt Ltd","never",66
2435,"city_100",0.887,"Male","Has","No","High","","17","100-500","Pvt Ltd","1",133
728,"city_16",0.91,"Male","Has","No","Graduate","STEM","14","50-99","Funded Startup","2",28
11259,"city_114",0.926,"Male","Has","No","Graduate","STEM","14","50-99","Pvt Ltd","4",23
3955,"city_16",0.91,"Male","No","Full","High","","4","","Pvt Ltd","never",108
30668,"city_114",0.926,"Male","Has","No","Graduate","STEM","7","50-99","Pvt Ltd","1",106
5897,"city_41",0.827,"Male","Has","No","Masters","STEM",">20","10/49","Pvt Ltd",">4",78
20442,"city_89",0.925,"Female","Has","No","Masters","STEM","7","100-500","Pvt Ltd","1",20
27451,"city_83",0.923,"Male","Has","No","Masters","Humanities","5","50-99","Pvt Ltd","2",80
3489,"city_103",0.92,"Male","Has","No","Graduate","STEM",">20","10/49","Pvt Ltd","2",43
24147,"city_65",0.802,"Male","No","Full","High","","5","","","never",13
3328,"city_103",0.92,"Male","Has","No","Graduate","STEM","9","100-500","Pvt Ltd",">4",27
3378,"city_83",0.923,"Male","Has","No","Masters","STEM","18","","",">4",31
3021,"city_175",0.776,"Male","No","No","Phd","STEM",">20","","","never",114
592,"city_103",0.92,"Male","Has","No","Graduate","STEM","7","50-99","","never",43
30992,"city_175",0.776,"Male","No","Full","Graduate","STEM","4","","","never",52
30091,"city_114",0.926,"Male","Has","No","Masters","STEM",">20","100-500","Pvt Ltd",">4",29
33037,"city_103",0.92,"Male","Has","No","Graduate","Business Degree","5","500-999","Pvt Ltd","1",36
18480,"city_138",0.836,"Male","Has","No","Phd","STEM",">20","","","never",43
28778,"city_136",0.897,"Male","No","Part","Masters","STEM","2","50-99","Pvt Ltd","1",6
32384,"city_73",0.754,"Male","No","No","Graduate","STEM","3","10000+","Pvt Ltd","1",96
10747,"city_100",0.887,"Male","Has","No","Graduate","STEM",">20","1000-4999","Pvt Ltd",">4",18
31603,"city_16",0.91,"Male","Has","No","Graduate","STEM","14","","","1",10
22537,"city_71",0.884,"Male","Has","Full","Masters","STEM","7","500-999","","1",23
29924,"city_162",0.767,"Male","Has","No","Masters","STEM","13","100-500","Public Sector","2",12
16545,"city_28",0.939,"Male","No","Full","High","","2","","","never",46
11797,"city_116",0.743,"Female","Has","No","Graduate","STEM",">20","50-99","Pvt Ltd",">4",18
16537,"city_136",0.897,"Male","Has","No","Masters","STEM","15","10000+","",">4",134
32026,"city_103",0.92,"Male","Has","Part","Graduate","STEM","5","10/49","Pvt Ltd",">4",64
17929,"city_10",0.895,"Male","Has","No","Masters","STEM","15","500-999","Pvt Ltd","1",41
8636,"city_16",0.91,"Male","Has","No","Graduate","STEM","15","100-500","Pvt Ltd","3",162
11021,"city_103",0.92,"Male","Has","No","Graduate","STEM","7","10000+","Pvt Ltd","4",16
10547,"city_21",0.624,"Female","No","Part","Graduate","STEM","5","50-99","Pvt Ltd","1",32
29987,"city_67",0.855,"Male","Has","No","Masters","STEM",">20","10000+","Pvt Ltd",">4",70
5880,"city_64",0.666,"Female","Has","Part","Graduate","STEM","5","<10","Early Stage Startup","never",15
8119,"city_21",0.624,"Male","Has","No","Masters","STEM","6","10/49","Pvt Ltd","2",26
30261,"city_160",0.92,"Male","Has","No","Graduate","STEM",">20","100-500","Funded Startup","2",67
22865,"city_160",0.92,"Male","No","Full","Graduate","STEM","5","1000-4999","Pvt Ltd","1",9
17410,"city_24",0.698,"Male","Has","No","Masters","STEM","9","100-500","Pvt Ltd","2",48
2901,"city_104",0.924,"Male","Has","No","Graduate","","6","50-99","Pvt Ltd","1",12
5701,"city_23",0.899,"Female","Has","No","Graduate","STEM","15","1000-4999","Pvt Ltd","never",12
3633,"city_103",0.92,"Male","Has","Part","Graduate","STEM","11","10000+","Pvt Ltd","2",174
22185,"city_21",0.624,"Male","No","Full","High","","3","","","1",56
30919,"city_143",0.74,"Male","Has","No","Graduate","STEM",">20","100-500","Pvt Ltd","3",65
21436,"city_50",0.896,"Female","Has","Full","Graduate","STEM","10","10/49","Funded Startup","1",328
14138,"city_103",0.92,"Male","Has","No","Graduate","Arts","19","100-500","Public Sector",">4",149
31757,"city_23",0.899,"Male","Has","No","Graduate","STEM","12","100-500","Pvt Ltd","1",39
26644,"city_103",0.92,"Male","Has","No","Graduate","STEM","20","1000-4999","Pvt Ltd","1",202
30620,"city_138",0.836,"Male","Has","Part","Graduate","STEM","10","1000-4999","Pvt Ltd","2",47
26342,"city_103",0.92,"Male","Has","No","Masters","STEM",">20","100-500","Funded Startup","1",30
28159,"city_61",0.913,"Male","Has","Part","Graduate","STEM","8","<10","Pvt Ltd","1",48
16041,"city_103",0.92,"Male","No","No","High","","4","","","never",55
13183,"city_67",0.855,"Male","Has","No","Graduate","STEM","15","","","1",24
30330,"city_114",0.926,"Male","No","No","High","","3","","","never",25
