id,class
11,A
22,A
30,A
49,A
88,A
89,A
90,A
109,A
125,A
130,A
169,A
172,A
189,A
195,A
208,A
217,A
234,A
239,A
270,A
281,A
285,A
288,A
318,A
382,A
407,A
426,A
461,A
483,A
484,A
501,A
505,A
513,A
553,A
559,A
570,A
595,A
596,A
617,A
618,A
679,A
702,A
707,A
718,A
724,A
730,A
746,A
748,A
750,A
814,A
825,A
880,A
881,A
882,A
902,A
908,A
917,A
963,A
1039,A
1055,A
1064,A
1067,A
1075,A
1079,A
1080,A
1085,A
1102,A
1173,A
1177,A
1189,A
1223,A
1234,A
1235,A
1254,A
1304,A
1340,A
1384,A
1396,A
1407,A
1410,A
1425,A
1433,A
1491,A
1492,A
1503,A
1525,A
1569,A
1644,A
1686,A
1691,A
1696,A
1704,A
1711,A
1722,A
1737,A
1748,A
1788,A
1792,A
1814,A
1830,A
1832,A
1846,A
1889,A
1916,A
1995,A
2022,A
2049,A
2057,A
2066,A
2077,A
2091,A
2095,A
2101,A
2118,A
2125,A
2127,A
2141,A
2145,A
2157,A
2192,A
2261,A
2270,A
2282,A
2291,A
2309,A
2311,A
2324,A
2330,A
2333,A
2344,A
2350,A
2432,A
2447,A
2495,A
2496,A
2505,A
2545,A
2556,A
2561,A
2569,A
2604,A
2663,A
2680,A
2698,A
2706,A
2780,A
2801,A
2816,A
2823,A
2852,A
2904,A
2952,A
2953,A
2957,A
2958,A
2970,A
2971,A
2989,A
3011,A
3075,A
3081,A
3085,A
3114,A
3132,A
3149,A
3158,A
3175,A
3209,A
3210,A
3213,A
3253,A
3292,A
3302,A
3372,A
3394,A
3408,A
3415,A
3417,A
3448,A
3460,A
3477,A
3505,A
3540,A
3547,A
3556,A
3566,A
3567,A
3583,A
3584,A
3615,A
3622,A
3659,A
3661,A
3664,A
3671,A
3716,A
3717,A
3724,A
3729,A
3731,A
3741,A
3751,A
3779,A
3802,A
3807,A
3841,A
3854,A
3886,A
3896,A
3919,A
3981,A
3987,A
3996,A
4000,A
4059,A
4067,A
4081,A
4101,A
4109,A
4115,A
4194,A
4204,A
4236,A
4242,A
4245,A
4258,A
4260,A
4294,A
4338,A
4351,A
4353,A
4381,A
4397,A
4417,A
4469,A
4492,A
4522,A
4623,A
4658,A
4662,A
4667,A
4688,A
4714,A
4719,A
4767,A
4770,A
4780,A
4808,A
4809,A
