userid,age,dob_day,dob_year,dob_month,gender,tenure,friend_count,friendships_initiated,likes,likes_received,mobile_likes,mobile_likes_received,www_likes,www_likes_received
1988963,18,23,1995,9,male,608,502,326,101,5,13,0,88,5
1721951,22,23,1991,4,male,501,501,411,104,134,14,88,90,46
1215753,19,12,1994,8,male,392,512,402,102,82,102,68,0,14
1862120,41,17,1972,6,male,413,509,412,111,59,0,7,111,52
1772104,16,20,1997,12,female,581,511,363,111,93,0,19,111,74
1346427,28,9,1985,11,male,1182,501,358,113,74,113,73,0,1
1075555,30,15,1983,10,male,542,503,373,119,68,110,42,9,26
1237980,30,1,1983,3,male,1691,510,226,119,456,101,204,18,252
1371925,20,29,1993,1,female,274,508,61,115,452,115,358,0,94
1500830,16,15,1997,8,male,295,514,295,121,121,58,110,63,11
1988691,15,3,1998,3,female,447,512,278,124,84,117,61,7,23
1279005,15,3,1998,3,female,991,503,240,122,293,117,93,5,200
1801981,16,2,1997,6,male,396,509,360,128,19,38,10,90,9
1468006,17,27,1996,11,female,224,512,304,126,156,26,66,100,90
1271571,21,2,1992,11,female,438,511,392,125,54,123,27,2,27
2108565,18,5,1995,4,female,245,500,336,127,137,111,75,16,62
1316593,17,22,1996,4,male,617,502,322,133,260,56,135,77,125
1809350,35,4,1978,9,female,556,516,313,135,159,131,127,4,32
1086253,28,17,1985,9,female,1690,507,201,132,284,132,184,0,100
1091201,21,9,1992,9,male,1071,517,250,137,141,38,36,99,105
1618226,33,21,1980,6,male,612,512,422,137,55,132,30,5,25
1060707,16,19,1997,1,male,619,513,407,140,112,133,50,7,62
1188269,33,1,1980,2,female,1684,505,144,142,1897,128,1490,14,407
2056368,17,29,1996,8,male,258,503,304,138,121,138,114,0,7
1284874,26,12,1987,10,male,270,511,94,150,576,65,433,85,143
2026302,20,2,1993,9,female,232,500,181,146,765,118,470,28,295
1879338,18,25,1995,1,female,350,500,48,148,222,148,165,0,57
1963338,28,22,1985,4,female,656,506,299,149,354,149,138,0,216
2033032,25,29,1988,5,male,1177,513,327,154,100,152,62,2,38
1897497,26,26,1987,1,male,1234,510,124,155,125,153,82,2,43
1624464,39,20,1974,5,male,207,515,438,151,194,142,144,9,50
1721658,21,29,1992,7,male,628,505,359,156,284,145,224,11,60
1534021,19,23,1994,11,male,259,500,433,157,72,157,66,0,6
2173551,23,15,1990,12,female,1496,502,235,162,1044,24,522,138,522
1684363,18,12,1995,2,male,682,516,344,163,150,163,125,0,25
1980911,21,6,1992,6,female,191,510,274,166,442,94,202,72,240
1820338,20,9,1993,3,female,601,508,298,168,392,132,201,36,191
2036606,18,5,1995,6,female,218,510,313,177,139,74,106,103,33
1569441,17,27,1996,5,female,584,507,330,178,428,106,341,72,87
1228816,18,5,1995,9,female,301,504,372,176,174,176,162,0,12
2152904,31,31,1982,1,female,397,505,472,198,207,108,123,90,84
1427641,17,11,1996,2,female,701,507,174,204,58,20,38,184,20
1767625,21,7,1992,6,male,162,500,461,206,425,206,414,0,11
1019749,15,23,1998,6,female,467,507,375,221,61,14,4,207,57
2116086,17,3,1996,6,female,64,505,396,212,793,202,215,10,578
2112849,28,24,1985,3,female,418,512,413,216,236,216,161,0,75
1058304,18,26,1995,6,female,538,516,306,223,103,203,31,20,72
1895253,24,27,1989,11,female,416,503,207,224,212,215,142,9,70
1577324,19,5,1994,4,female,506,512,139,233,73,233,73,0,0
2129244,23,3,1990,3,male,314,514,384,222,125,222,117,0,8
1395458,20,25,1993,2,male,270,507,281,246,326,198,178,48,148
