"User_ID","Product_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Product_Category_1","Product_Category_2","Product_Category_3"
1001889,"P00166642","M","18-25",14,"B","2",0,8,NA,NA
1003320,"P00030842","M","26-35",1,"B","1",1,1,2,15
1003690,"P0095742","M","18-25",0,"B","2",0,4,5,NA
1002796,"P00227642","M","26-35",14,"B","3",0,1,5,14
1001671,"P00114542","M","36-45",0,"B","2",0,5,NA,NA
1005872,"P00040442","M","26-35",17,"C","1",1,5,14,NA
1002230,"P00051042","F","46-50",1,"B","4+",1,8,NA,NA
1001680,"P0098542","M","26-35",20,"A","3",1,8,NA,NA
1003821,"P00006842","M","26-35",20,"A","2",1,5,NA,NA
1005367,"P00250842","M","18-25",4,"A","1",0,8,NA,NA
1005588,"P00020642","F","26-35",20,"A","1",1,8,NA,NA
1003661,"P00221442","M","36-45",12,"C","0",1,1,2,5
1002010,"P00187342","M","18-25",4,"B","0",0,4,5,15
1000957,"P00046242","M","36-45",1,"C","2",1,8,NA,NA
1003878,"P00245642","M","36-45",16,"B","4+",0,5,11,12
1003129,"P00277942","M","26-35",7,"B","2",0,1,NA,NA
1002437,"P00010742","M","26-35",4,"C","4+",1,1,8,17
1004497,"P00113242","M","51-55",0,"B","3",1,1,6,8
1005820,"P00126142","M","46-50",0,"B","1",1,8,16,NA
1004888,"P00112842","F","55+",0,"B","4+",0,8,17,NA
1005996,"P00201042","F","26-35",0,"B","1",1,8,NA,NA
1001181,"P00069842","M","36-45",7,"A","3",1,13,16,NA
1004140,"P00100942","M","26-35",0,"B","4+",0,5,NA,NA
1005441,"P00037142","M","51-55",7,"C","0",1,1,2,5
1001314,"P00034742","F","18-25",4,"C","0",0,5,14,17
1001094,"P00014542","F","18-25",0,"C","1",0,8,NA,NA
1005329,"P00124242","F","26-35",5,"B","1",0,11,14,NA
1001749,"P00331342","M","26-35",2,"B","1",1,8,16,NA
1005880,"P00304942","M","26-35",1,"A","1",1,6,8,NA
1001203,"P00335542","F","26-35",1,"A","3",0,8,NA,NA
1003005,"P00173042","M","26-35",17,"A","1",0,13,15,16
1005548,"P00214442","F","18-25",4,"A","4+",0,8,NA,NA
1001591,"P00115442","M","51-55",7,"C","1",1,8,NA,NA
1005607,"P00144242","M","18-25",4,"C","2",0,5,14,NA
1004124,"P00206642","M","26-35",18,"C","1",1,5,NA,NA
1001490,"P00025442","M","51-55",7,"B","4+",1,1,2,9
1001916,"P00276342","M","46-50",7,"B","0",0,5,NA,NA
1003332,"P00183442","M","26-35",7,"B","2",1,1,2,NA
1000549,"P00298442","M","26-35",6,"A","3",0,16,NA,NA
1001658,"P00010942","F","36-45",6,"B","2",0,1,2,6
1003697,"P00147942","M","26-35",15,"B","1",0,1,16,NA
1005619,"P00042742","F","18-25",4,"C","0",0,5,14,NA
1000442,"P00218242","M","26-35",1,"A","2",0,5,8,NA
1000201,"P00213242","F","36-45",2,"A","1",0,5,8,NA
1001753,"P00020142","M","36-45",6,"B","3",0,7,NA,NA
1001983,"P00218442","M","26-35",14,"A","3",0,1,NA,NA
1005395,"P00286642","M","51-55",1,"C","1",1,11,14,NA
1002826,"P00010842","M","36-45",12,"A","4+",1,8,16,NA
1003476,"P00218642","M","51-55",0,"B","2",1,5,NA,NA
1003558,"P00051442","M","18-25",17,"A","3",0,8,17,NA
1000637,"P00312742","M","36-45",12,"B","2",1,15,NA,NA
1002376,"P00041842","M","26-35",1,"A","3",0,6,8,NA
1004084,"P00294542","M","55+",13,"C","0",0,8,NA,NA
1004327,"P00341942","M","36-45",17,"B","1",0,11,15,16
1002056,"P00111742","M","26-35",4,"B","2",0,15,NA,NA
1003539,"P00271942","F","26-35",4,"A","1",1,5,8,NA
1002832,"P00118542","M","26-35",17,"B","4+",0,5,8,NA
1004643,"P00220342","M","26-35",0,"A","0",0,5,NA,NA
1002595,"P00184942","M","18-25",4,"B","1",0,1,8,17
1004053,"P00328742","M","26-35",18,"B","1",0,1,17,NA
1001317,"P00271042","M","46-50",7,"B","3",1,6,16,NA
1004335,"P00002242","M","36-45",0,"B","3",0,6,8,16
1005349,"P00118942","F","51-55",2,"C","1",1,8,NA,NA
1003010,"P00368242","M","26-35",12,"A","0",0,5,11,NA
1005960,"P00183442","F","46-50",0,"C","1",1,1,2,NA
1000238,"P00314242","F","51-55",7,"B","0",0,8,NA,NA
1002684,"P00248942","F","18-25",0,"C","3",1,1,6,14
1004199,"P00001742","F","26-35",9,"C","2",0,8,14,NA
1001699,"P00276042","F","26-35",19,"A","0",0,2,8,NA
1005443,"P00196142","M","26-35",12,"B","2",0,3,4,5
1005795,"P00209242","M","26-35",1,"A","1",1,8,NA,NA
1003971,"P00302042","F","18-25",4,"B","0",0,5,NA,NA
1000549,"P00274542","M","26-35",6,"A","3",0,6,16,NA
1001579,"P00159542","M","26-35",0,"A","0",0,10,15,16
1002015,"P00187842","M","18-25",4,"B","4+",0,1,16,NA
1003621,"P00140742","M","18-25",4,"B","3",0,1,15,NA
1001984,"P00277642","M","18-25",10,"B","2",1,2,3,10
1004220,"P00047942","M","36-45",0,"B","0",1,5,13,NA
1003048,"P00080342","M","18-25",2,"C","3",1,1,6,8
1003320,"P00040242","M","26-35",1,"B","1",1,5,16,NA
1002501,"P00183442","M","26-35",15,"B","2",0,1,2,NA
1000355,"P00124242","M","18-25",3,"B","2",0,11,14,NA
1002878,"P00240842","F","51-55",20,"A","2",1,8,NA,NA
1002251,"P00195342","M","36-45",14,"A","3",0,2,5,NA
1004049,"P00351642","M","46-50",11,"A","3",1,8,15,16
1002163,"P00248942","M","18-25",0,"C","0",1,1,6,14
1005054,"P00062742","M","36-45",2,"B","0",0,8,17,NA
1000710,"P00258442","M","26-35",20,"A","4+",0,5,NA,NA
1001396,"P00240142","F","26-35",12,"A","4+",1,5,NA,NA
1001265,"P00016742","F","18-25",20,"B","0",1,1,15,16
1004575,"P00244742","F","0-17",10,"C","2",0,11,NA,NA
1001389,"P00285642","M","26-35",17,"B","4+",1,2,5,15
1006021,"P00119642","M","26-35",12,"B","2",1,1,2,8
1002106,"P00034742","F","18-25",20,"A","3",1,5,14,17
1001059,"P00128342","F","26-35",0,"B","3",0,5,12,14
1001931,"P00343542","M","26-35",2,"A","1",1,8,11,NA
1004071,"P00327442","M","26-35",17,"C","3",1,5,8,NA
1000546,"P00117042","F","26-35",0,"B","0",0,1,2,5
1005888,"P00113842","M","26-35",20,"B","1",0,6,8,16
1001812,"P00246742","F","26-35",12,"A","4+",1,11,15,NA
1005636,"P00218342","M","26-35",7,"A","0",1,5,NA,NA
1001962,"P00066942","F","18-25",1,"B","0",1,8,14,NA
1001613,"P00190842","M","18-25",20,"A","1",0,2,5,12
1002424,"P00157542","M","26-35",17,"C","3",0,8,14,NA
1001228,"P00031042","M","26-35",1,"C","4+",1,8,NA,NA
1000169,"P00006542","M","26-35",7,"B","3",0,15,16,NA
1005177,"P00147942","M","46-50",14,"C","0",1,1,16,NA
1002529,"P00110742","F","36-45",9,"A","3",0,1,2,8
1002527,"P00113242","M","36-45",15,"C","2",0,1,6,8
1003487,"P00029242","M","18-25",4,"A","1",1,8,NA,NA
1001203,"P00330642","F","26-35",1,"A","3",0,5,NA,NA
1002153,"P00241542","M","18-25",16,"B","3",0,1,6,NA
1000639,"P00324642","M","46-50",17,"B","2",1,8,NA,NA
1001984,"P00279542","M","18-25",10,"B","2",1,8,NA,NA
1001100,"P00267442","M","26-35",0,"B","0",1,1,2,5
1003690,"P00324542","M","18-25",0,"B","2",0,5,8,NA
1002901,"P00266542","M","26-35",17,"B","2",0,2,16,NA
1002090,"P00211042","M","36-45",17,"C","2",0,5,NA,NA
1001675,"P00226942","F","26-35",6,"B","1",1,11,NA,NA
1005953,"P00255742","M","0-17",10,"B","0",0,3,4,NA
1005914,"P00271042","M","36-45",2,"C","3",1,6,16,NA
1003693,"P00362442","M","26-35",15,"B","1",1,5,NA,NA
1000438,"P00259442","M","18-25",11,"A","3",0,5,NA,NA
1001803,"P00258842","M","26-35",2,"B","1",0,5,NA,NA
1000817,"P00006542","M","18-25",4,"B","2",0,15,16,NA
1001759,"P00000342","M","26-35",16,"C","0",1,5,14,NA
1001978,"P00299442","M","0-17",10,"C","4+",0,3,4,NA
1001129,"P00152742","M","36-45",17,"C","2",0,5,NA,NA
1003913,"P00117942","M","18-25",17,"B","0",0,5,15,NA
1005677,"P00192542","M","26-35",1,"A","3",0,1,2,9
1003507,"P00080342","M","26-35",0,"A","3",0,1,6,8
1002063,"P00164842","M","26-35",4,"A","3",0,5,16,NA
1003517,"P00259242","M","18-25",12,"C","3",0,5,NA,NA
1001170,"P00331342","M","55+",3,"A","2",1,8,16,NA
1000184,"P00005042","F","26-35",0,"C","4+",1,6,16,NA
1001268,"P00150142","M","51-55",2,"B","1",1,8,NA,NA
1005524,"P00128242","F","0-17",10,"B","1",0,5,12,14
1000033,"P00274442","M","46-50",3,"A","1",1,1,18,NA
1002668,"P00116242","F","26-35",4,"A","3",1,8,15,NA
1002745,"P00026042","F","36-45",1,"C","1",0,8,14,17
1001132,"P00112142","M","18-25",12,"A","1",1,1,2,14
1000293,"P00188442","M","55+",1,"C","1",1,5,7,NA
1002924,"P00295942","F","18-25",4,"B","4+",0,2,5,15
1004733,"P00227842","M","18-25",18,"C","1",0,2,5,NA
1003971,"P00270242","F","18-25",4,"B","0",0,8,NA,NA
1002756,"P00320742","M","18-25",4,"C","2",0,1,4,9
1000545,"P00178042","M","36-45",17,"C","2",0,8,14,NA
1002445,"P00329542","M","26-35",0,"A","1",1,1,15,16
1000984,"P00331642","M","51-55",16,"A","2",1,12,NA,NA
1003908,"P00003942","M","26-35",0,"B","2",0,5,14,NA
1000588,"P00111742","F","26-35",11,"B","1",0,15,NA,NA
1005965,"P00019142","M","26-35",17,"C","1",0,11,15,NA
1002397,"P00269942","F","36-45",11,"B","3",0,1,2,NA
1001861,"P00255842","M","51-55",16,"A","1",1,16,NA,NA
1003675,"P00330242","M","36-45",7,"B","3",0,5,NA,NA
1001303,"P00295842","M","26-35",19,"A","4+",0,5,8,NA
1006040,"P00219242","M","26-35",6,"B","2",0,4,5,NA
1002323,"P00021742","M","36-45",3,"B","1",1,5,NA,NA
1000573,"P00010742","F","36-45",2,"B","0",0,1,8,17
1002453,"P00177842","M","26-35",7,"B","0",0,8,NA,NA
1002731,"P00126142","M","36-45",7,"C","1",0,8,16,NA
1005138,"P00303242","M","26-35",17,"B","0",0,5,8,NA
1003401,"P00032342","M","36-45",7,"B","1",0,11,15,NA
1002096,"P00259342","F","26-35",17,"C","1",1,5,9,NA
1003227,"P00028142","F","26-35",14,"A","2",0,5,14,NA
1000091,"P00222642","M","36-45",7,"C","3",1,5,NA,NA
1004112,"P00270942","M","46-50",18,"B","3",1,1,2,15
1002181,"P00368142","M","26-35",0,"B","4+",1,2,15,NA
1000648,"P00341242","F","26-35",12,"B","1",1,7,NA,NA
1005536,"P00138842","M","26-35",16,"B","2",1,5,NA,NA
1005390,"P00062842","M","0-17",0,"C","1",0,1,2,13
1004333,"P00129342","M","51-55",2,"C","1",1,1,5,15
