"Date","Location","MinTemp","MaxTemp","Rainfall","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday"
2016-01-01,"Albury",20.4,37.6,0,"ENE",54,NA,"ESE",0,7,46,17,1013.4,1009.2,7,3,26.1,36.7,"No"
2016-01-02,"Albury",20.9,33.6,0.4,"SSE",50,"SSE","SE",9,17,54,30,1011.1,1008.4,8,8,24.8,31.7,"No"
2016-01-03,"Albury",18.4,23.1,2.2,"ENE",48,"ESE","ENE",11,39,62,67,1014,1014.8,8,8,21.8,19.5,"Yes"
2016-01-04,"Albury",17.3,23.7,15.6,"SSE",39,"SE","SSE",9,17,74,65,1017.9,1016.5,8,8,19.2,21.6,"Yes"
2016-01-05,"Albury",15.5,22.9,6.8,"ENE",31,"SE","SSE",6,9,92,63,1016.3,1013.9,8,8,17.2,22.2,"Yes"
2016-01-06,"Albury",17,28.1,0.2,"SE",39,"SSE","ENE",9,11,76,52,1014.6,1012.6,8,8,20.3,25.7,"No"
2016-01-07,"Albury",16.4,28,0,"SE",35,"SE","ESE",20,20,46,31,1017.4,1015.7,NA,2,20.9,26.6,"No"
2016-01-08,"Albury",14.3,31.7,0,"NNW",24,"SSE","ENE",11,6,63,24,1019.6,1017.2,NA,8,19.4,28.7,"No"
2016-01-09,"Albury",16.7,35,0,"WNW",28,"E","SSE",11,9,52,24,1018.6,1015.5,NA,3,24.2,33.1,"No"
2016-01-10,"Albury",17.8,37,0,"SSW",41,"ESE","WNW",9,17,54,17,1016.6,1012.6,NA,NA,26.2,36.2,"No"
2016-01-11,"Albury",17.7,39.2,0,"WNW",56,"SE","W",9,7,46,13,1011.6,1007.5,NA,8,26,37,"No"
2016-01-12,"Albury",20.6,38.9,0,"WSW",56,"ESE","W",6,24,40,18,1010.8,1009.8,1,NA,28.1,37.6,"No"
2016-01-13,"Albury",20.2,43,0,"WNW",72,"SE","N",15,24,51,16,1013.8,1007.5,NA,NA,27.9,42.3,"No"
2016-01-14,"Albury",26.8,30.2,0,"WNW",50,"NE","SW",9,24,50,39,1010.5,1015.5,8,8,27.2,21.4,"No"
2016-01-15,"Albury",10.4,25.2,0,"SE",46,"S","SE",19,20,41,31,1026.1,1023.8,NA,NA,15.9,23.9,"No"
2016-01-16,"Albury",10.7,29.4,0,"N",35,"SSE","S",13,9,45,19,1027.4,1022.9,NA,NA,17.8,27.3,"No"
2016-01-17,"Albury",14.5,30.6,0,"NE",24,"NNE","SSE",13,4,51,31,1024.2,1019.6,NA,3,20.5,28.1,"No"
2016-01-18,"Albury",14.4,33.5,0,"E",28,"SE","E",9,15,53,22,1019.2,1014.7,NA,NA,22.5,31.9,"No"
2016-01-19,"Albury",16.1,40,0,"NW",50,"ESE","NW",7,19,46,15,1015.5,1009.4,NA,5,24.3,37.6,"No"
2016-01-20,"Albury",23.4,33.9,0,"NE",39,"NNW","SE",13,7,23,24,1010.1,1009.3,8,8,30.2,31.5,"No"
2016-01-21,"Albury",20.4,38,0,"WNW",56,"SE","WNW",9,35,62,22,1009,1007.2,8,8,24.8,33.4,"No"
2016-01-22,"Albury",22.8,28.1,0,"NNW",39,"SSE","W",9,2,67,89,1008.8,1007.4,7,8,24.2,21.7,"No"
2016-01-23,"Albury",17,31.3,12.6,"W",41,"SSE","W",9,20,72,40,1009.2,1008.1,NA,1,22.1,31,"Yes"
2016-01-24,"Albury",16.6,33.2,0,"SW",30,"SSE","SSW",15,17,55,30,1011.3,1008.3,NA,NA,22.4,31.2,"No"
2016-01-25,"Albury",18.1,32.8,0,"SE",39,"SE","SSW",11,11,56,30,1012.1,1009.6,NA,1,24,30.5,"No"
2016-01-26,"Albury",18.7,34.2,0,"SE",31,"SE","SSE",19,11,48,33,1015.7,1012.3,NA,1,23.3,32,"No"
2016-01-27,"Albury",18.5,25.7,19.4,"W",37,"ESE","E",9,17,96,65,1014.9,1010.5,8,8,18.9,23.2,"Yes"
2016-01-28,"Albury",17.7,31.7,4.2,"WNW",35,NA,"NE",0,13,83,47,1008.1,1002.8,7,1,20.8,30.4,"Yes"
2016-01-29,"Albury",17.1,24.2,0,"W",48,"SE","WNW",7,24,77,72,1000.7,1003.4,7,7,20.7,16.1,"No"
2016-01-30,"Albury",10,28.1,0,"W",52,"SSE","SSW",11,9,70,26,1005.2,1000.8,NA,NA,16,27.1,"No"
2016-01-31,"Albury",13.8,24.2,7,"WNW",48,"NNE","NNW",17,26,79,48,1003.9,1002.2,8,6,16.9,22.5,"Yes"
2016-02-01,"Albury",13,26.1,28.6,"SSE",28,"SSE","SW",17,13,88,47,1004.2,1003.2,8,2,14.7,24.2,"Yes"
2016-02-02,"Albury",14.4,29.7,0.2,"NNE",22,"E","NW",7,7,69,37,1006.2,1003.2,NA,1,20.7,28,"No"
2016-02-03,"Albury",19.8,25.8,0,"SSE",31,"SW","E",6,13,67,74,1002.8,1004.4,7,8,22.4,22.6,"No"
2016-02-04,"Albury",16.5,29.8,0.4,"SSE",46,"SE","SE",22,20,53,32,1014,1012.3,NA,NA,20,28.4,"No"
2016-02-05,"Albury",14.2,29.9,0,"SE",30,"SE","SE",15,11,47,34,1018.3,1015.8,NA,NA,20,27,"No"
2016-02-06,"Albury",14.6,30.3,0,"NNE",22,"S","E",7,13,64,34,1017.9,1014.7,NA,4,20.3,28.1,"No"
2016-02-07,"Albury",15.2,32.8,0,"W",28,"SSE","WSW",4,15,67,37,1017.9,1014.9,NA,NA,21,30.7,"No"
2016-02-08,"Albury",18,35.2,0,"SSW",37,"NE","WSW",2,9,51,32,1019,1016,NA,NA,24.2,33.8,"No"
2016-02-09,"Albury",18.8,35,0,"NE",28,"E","NNE",9,11,54,31,1019,1015.6,NA,NA,24.8,33.3,"No"
2016-02-10,"Albury",15.7,35,0,"W",33,"SE","WSW",9,20,64,22,1014.2,1010.2,NA,NA,22.6,33.9,"No"
2016-02-11,"Albury",17.3,35.2,0,"E",28,"SE","SE",6,9,53,23,1013.1,1010.4,NA,NA,23.3,33.6,"No"
2016-02-12,"Albury",17.3,34.9,0,"WNW",26,"SE","NW",7,11,59,23,1014.9,1011.6,NA,2,22.9,33.3,"No"
