"ID","Private"
681,"No"
746,"No"
341,"No"
413,"No"
707,"No"
46,"No"
699,"No"
586,"No"
105,"No"
57,"No"
485,"No"
687,"No"
566,"No"
712,"No"
20,"No"
322,"No"
207,"No"
701,"No"
521,"No"
583,"No"
537,"No"
648,"No"
103,"No"
367,"No"
668,"No"
700,"No"
640,"No"
93,"No"
561,"No"
142,"No"
370,"No"
407,"No"
24,"No"
198,"No"
219,"No"
685,"No"
604,"No"
659,"No"
511,"No"
204,"No"
348,"No"
713,"No"
603,"No"
139,"No"
697,"No"
321,"No"
551,"No"
684,"No"
748,"No"
574,"No"
653,"No"
530,"No"
730,"No"
633,"No"
458,"No"
376,"No"
490,"No"
612,"No"
422,"No"
280,"No"
462,"No"
178,"No"
421,"No"
635,"No"
703,"No"
564,"No"
747,"No"
208,"No"
177,"No"
538,"No"
182,"No"
634,"No"
647,"No"
636,"No"
356,"No"
693,"No"
411,"No"
223,"No"
621,"No"
620,"No"
534,"No"
119,"No"
326,"No"
677,"No"
364,"No"
317,"No"
679,"No"
306,"No"
428,"No"
484,"No"
644,"No"
568,"No"
571,"No"
113,"No"
630,"No"
582,"No"
366,"No"
607,"No"
739,"No"
663,"No"
588,"No"
563,"No"
623,"No"
274,"No"
22,"No"
662,"No"
773,"No"
334,"No"
657,"No"
26,"No"
224,"No"
304,"No"
270,"No"
386,"No"
378,"No"
291,"No"
652,"No"
631,"No"
418,"No"
629,"No"
570,"No"
166,"No"
680,"No"
768,"No"
744,"No"
702,"No"
638,"No"
643,"No"
695,"No"
486,"No"
289,"No"
632,"No"
605,"No"
665,"No"
196,"No"
656,"No"
658,"No"
740,"No"
445,"No"
104,"No"
28,"No"
446,"No"
651,"No"
606,"No"
325,"No"
466,"No"
714,"No"
694,"No"
676,"No"
382,"No"
742,"No"
624,"No"
275,"No"
531,"No"
368,"No"
592,"No"
433,"No"
126,"No"
562,"No"
448,"No"
686,"No"
675,"No"
645,"No"
728,"No"
278,"No"
567,"No"
639,"No"
532,"No"
767,"No"
131,"Yes"
414,"Yes"
584,"Yes"
75,"Yes"
167,"Yes"
732,"Yes"
102,"Yes"
276,"Yes"
88,"Yes"
536,"Yes"
391,"Yes"
140,"Yes"
129,"Yes"
159,"Yes"
431,"Yes"
731,"Yes"
206,"Yes"
427,"Yes"
89,"Yes"
225,"Yes"
152,"Yes"
674,"Yes"
63,"Yes"
727,"Yes"
154,"Yes"
69,"Yes"
522,"Yes"
493,"Yes"
324,"Yes"
138,"Yes"
340,"Yes"
242,"Yes"
117,"Yes"
245,"Yes"
616,"Yes"
60,"Yes"
399,"Yes"
67,"Yes"
476,"Yes"
279,"Yes"
691,"Yes"
147,"Yes"
671,"Yes"
527,"Yes"
201,"Yes"
90,"Yes"
388,"Yes"
183,"Yes"
189,"Yes"
116,"Yes"
617,"Yes"
199,"Yes"
21,"Yes"
354,"Yes"
514,"Yes"
8,"Yes"
351,"Yes"
578,"Yes"
272,"Yes"
53,"Yes"
610,"Yes"
598,"Yes"
540,"Yes"
387,"Yes"
704,"Yes"
83,"Yes"
750,"Yes"
156,"Yes"
480,"Yes"
149,"Yes"
292,"Yes"
753,"Yes"
327,"Yes"
186,"Yes"
110,"Yes"
29,"Yes"
222,"Yes"
362,"Yes"
669,"Yes"
30,"Yes"
495,"Yes"
44,"Yes"
397,"Yes"
477,"Yes"
500,"Yes"
369,"Yes"
323,"Yes"
543,"Yes"
194,"Yes"
123,"Yes"
520,"Yes"
745,"Yes"
342,"Yes"
432,"Yes"
215,"Yes"
205,"Yes"
594,"Yes"
482,"Yes"
766,"Yes"
266,"Yes"
735,"Yes"
130,"Yes"
618,"Yes"
308,"Yes"
74,"Yes"
227,"Yes"
121,"Yes"
499,"Yes"
599,"Yes"
718,"Yes"
303,"Yes"
91,"Yes"
231,"Yes"
473,"Yes"
581,"Yes"
760,"Yes"
290,"Yes"
688,"Yes"
285,"Yes"
253,"Yes"
449,"Yes"
40,"Yes"
751,"Yes"
529,"Yes"
168,"Yes"
124,"Yes"
96,"Yes"
197,"Yes"
489,"Yes"
47,"Yes"
281,"Yes"
409,"Yes"
690,"Yes"
143,"Yes"
97,"Yes"
45,"Yes"
672,"Yes"
260,"Yes"
576,"Yes"
297,"Yes"
328,"Yes"
585,"Yes"
507,"Yes"
64,"Yes"
108,"Yes"
590,"Yes"
187,"Yes"
244,"Yes"
169,"Yes"
7,"Yes"
524,"Yes"
133,"Yes"
365,"Yes"
6,"Yes"
357,"Yes"
395,"Yes"
682,"Yes"
759,"Yes"
548,"Yes"
329,"Yes"
158,"Yes"
408,"Yes"
410,"Yes"
518,"Yes"
444,"Yes"
526,"Yes"
775,"Yes"
247,"Yes"
705,"Yes"
55,"Yes"
596,"Yes"
442,"Yes"
332,"Yes"
717,"Yes"
344,"Yes"
94,"Yes"
398,"Yes"
430,"Yes"
724,"Yes"
73,"Yes"
519,"Yes"
84,"Yes"
637,"Yes"
358,"Yes"
66,"Yes"
331,"Yes"
313,"Yes"
461,"Yes"
706,"Yes"
293,"Yes"
267,"Yes"
