"ID","Value"
190972,18500
179646,500
225440,1200
212642,325
245804,220
230162,400
230290,425
205892,1400
238074,1600
237665,575
178085,9500
208766,1400
229156,375
224413,130
223054,2500
245289,575
239656,400
226299,3200
213017,2400
241587,250
224796,2100
245014,180
177126,1800
241721,6500
222299,290
243286,110
229243,190
232451,475
232488,900
245763,140
242031,90
229862,3000
166113,200
222660,1000
186513,375
244082,210
237253,675
216540,775
210514,25500
237305,120
193844,6500
236447,1300
211267,15500
236573,575
242663,1600
229218,5500
198715,12500
243111,400
228562,210
245279,1400
175847,4400
203015,425
206577,4900
228139,140
221475,800
191673,1300
211522,2500
232892,230
195262,1000
174206,90
205846,775
242112,2500
218744,925
206022,3100
244685,1300
242482,200
221311,3600
242052,1700
210236,1700
229104,2100
201529,2400
189061,1700
230694,525
215169,500
240680,575
220061,2500
246280,260
183544,850
231616,525
194085,1000
219715,675
226491,11000
243378,550
241159,230
205937,575
226182,70
155887,5500
240497,475
207815,1400
231777,4200
223083,325
180181,170
220396,1000
242108,130
163351,300
201043,4500
228518,700
228383,280
230252,6000
244308,400
237188,170
193041,30500
222080,1000
210736,7000
236629,425
206085,4600
188416,3200
200609,475
239368,1000
229245,1100
190633,2500
245795,850
212329,350
194937,475
229324,450
235163,3100
237933,190
204963,31500
199266,2500
202204,575
214919,3200
228625,300
206082,180
203280,9000
194879,15500
220807,350
243021,475
226556,1100
241695,975
210711,350
242165,100
226540,625
226811,5500
206263,700
240439,500
199000,6000
235496,725
179789,6500
215422,950
230247,270
230984,850
186935,6000
224388,975
210840,425
237146,375
141265,220
243790,50
246042,170
183540,4000
197154,725
183437,475
242525,140
245860,50
190734,1200
213418,1500
177618,375
165880,140
19541,150
226659,725
234107,475
211928,725
237821,300
233079,600
240906,450
213316,375
188417,400
189209,1100
200703,400
200235,1100
236244,160
173401,40
215042,4900
220421,600
235768,210
207876,1800
198783,1400
141111,475
215168,3700
230625,1100
236399,875
120243,20
224185,2300
238359,12500
245098,350
240683,1100
244833,525
242300,280
226261,450
188506,4500
233470,775
207627,500
180250,1500
157310,700
178221,375
188131,180
225478,5500
200953,675
239433,8000
224702,375
244451,80
231111,6000
242021,1200
244287,1400
176246,325
206124,3200
196940,350
235552,1200
204370,3800
213498,3700
243136,180
45605,325
209892,2400
189295,350
178594,1400
215720,900
245650,120
214190,1300
242018,325
243099,60
177610,20000
242159,300
237983,725
245994,250
213348,1000
243366,100
214382,975
220302,4700
239076,140
194806,6000
234066,180
245652,475
11800,10
200592,725
209062,775
241496,2200
237245,1400
213444,600
178255,3800
178461,825
202215,500
10899,160
176592,300
204970,39000
219487,1000
243129,600
227866,1100
183395,800
187619,270
243813,190
209662,575
230172,525
230506,475
189849,1800
227928,20000
185260,3100
209643,600
216643,10500
244393,1600
210881,5500
244344,900
237657,500
221467,4100
246462,240
152505,300
229699,7000
244015,70
212340,775
242225,325
158438,4500
244439,90
178120,400
226583,1000
225748,1300
178590,325
229970,375
246012,180
230980,150
172516,325
189839,350
